ProductID,LegacyCode,Name,Barcode,QRCode,Description,Category,SubCategory,PurchasePriceExVAT,SalePriceExVAT,VATRate,LastInvoiceNumber,LastPurchaseDate,LastPurchaseSupplier,LastReceivedBy,QuantityInStock,MinimumStockLevel,LastRestockDate,SupplierID,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,Status
1,0010007,Kabelis YDYp 3x2.5,4750123456789,QR-4750123456789,"Varinis instaliacinis kabelis, 3 gyslų, 2.5mm²",Elektros Instaliacijos,Kabeliai,1.85,2.45,21,INV-2024-001,2024-03-15,UAB Elektros Tiekimas,SANDĖLININKAS001,2500,500,2024-03-15,SUP001,ADMIN,2024-01-01,ADMIN,2024-03-15,Active
2,0010015,Kabelis YDYp 3x1.5,4750123456790,QR-4750123456790,"Varinis instaliacinis kabelis, 3 gyslų, 1.5mm²",Elektros Instaliacijos,Kabeliai,1.25,1.85,21,INV-2024-001,2024-03-15,UAB Elektros Tiekimas,SANDĖLININKAS001,3200,600,2024-03-15,SUP001,ADMIN,2024-01-01,ADMIN,2024-03-15,Active
3,0010150,Rozete 2P+Z Balta,4750987654321,QR-4750987654321,"Paviršinė rozetė su įžeminimu, balta",Elektros Instaliacijos,Rozetės,3.25,4.50,21,INV-2024-002,2024-03-10,UAB Elektros Prekės,SANDĖLININKAS002,350,50,2024-03-10,SUP002,ADMIN,2024-01-01,SALES001,2024-03-10,Active
4,0010151,Rozete 2P+Z Juoda,4750987654322,QR-4750987654322,"Paviršinė rozetė su įžeminimu, juoda",Elektros Instaliacijos,Rozetės,3.25,4.50,21,INV-2024-002,2024-03-10,UAB Elektros Prekės,SANDĖLININKAS002,180,50,2024-03-10,SUP002,ADMIN,2024-01-01,SALES001,2024-03-10,Active
5,00100089,LED Panelė 60x60 40W,4751234567890,QR-4751234567890,"LED šviesos panelė 60x60cm, 4000K, 3600lm",Apšvietimas,LED Panelės,25.99,35.99,21,INV-2024-003,2024-03-01,UAB LED Systems,SANDĖLININKAS001,75,15,2024-03-01,SUP003,ADMIN,2024-01-01,ADMIN,2024-03-01,Active
6,00100090,LED Panelė 60x60 36W,4751234567891,QR-4751234567891,"LED šviesos panelė 60x60cm, 3000K, 3200lm",Apšvietimas,LED Panelės,23.99,32.99,21,INV-2024-003,2024-03-01,UAB LED Systems,SANDĖLININKAS001,60,15,2024-03-01,SUP003,ADMIN,2024-01-01,ADMIN,2024-03-01,Active
7,0020010,Automatinis jungiklis 1P B16,4752345678901,QR-4752345678901,"1P B16 charakteristikos automatinis jungiklis",Elektros Instaliacijos,Automatika,3.85,5.99,21,INV-2024-004,2024-03-18,UAB Elektros Įranga,SANDĖLININKAS003,420,100,2024-03-18,SUP004,ADMIN,2024-01-01,SALES002,2024-03-18,Active
8,0020011,Automatinis jungiklis 1P B20,4752345678902,QR-4752345678902,"1P B20 charakteristikos automatinis jungiklis",Elektros Instaliacijos,Automatika,3.85,5.99,21,INV-2024-004,2024-03-18,UAB Elektros Įranga,SANDĖLININKAS003,380,100,2024-03-18,SUP004,ADMIN,2024-01-01,SALES002,2024-03-18,Active
9,0020012,Automatinis jungiklis 1P B25,4752345678903,QR-4752345678903,"1P B25 charakteristikos automatinis jungiklis",Elektros Instaliacijos,Automatika,3.85,5.99,21,INV-2024-004,2024-03-18,UAB Elektros Įranga,SANDĖLININKAS003,290,100,2024-03-18,SUP004,ADMIN,2024-01-01,SALES002,2024-03-18,Active
10,0030001,LED Lempa E27 10W,4753456789012,QR-4753456789012,"LED lempa E27, 10W, 4000K, 806lm",Apšvietimas,LED Lempos,2.15,3.99,21,INV-2024-005,2024-03-20,UAB LED Sprendimai,SANDĖLININKAS001,850,200,2024-03-20,SUP005,ADMIN,2024-01-01,ADMIN,2024-03-20,Active
11,0030002,LED Lempa E27 12W,4753456789013,QR-4753456789013,"LED lempa E27, 12W, 4000K, 1055lm",Apšvietimas,LED Lempos,2.45,4.49,21,INV-2024-005,2024-03-20,UAB LED Sprendimai,SANDĖLININKAS001,720,200,2024-03-20,SUP005,ADMIN,2024-01-01,ADMIN,2024-03-20,Active
12,0040001,Paskirstymo skydelis 12mod,4754567890123,QR-4754567890123,"Potinkinis paskirstymo skydelis, 12 modulių",Elektros Instaliacijos,Skydeliai,12.99,18.99,21,INV-2024-006,2024-03-22,UAB Elektros Sistemos,SANDĖLININKAS002,45,10,2024-03-22,SUP006,ADMIN,2024-01-01,SALES001,2024-03-22,Active
13,0040002,Paskirstymo skydelis 24mod,4754567890124,QR-4754567890124,"Potinkinis paskirstymo skydelis, 24 modulių",Elektros Instaliacijos,Skydeliai,18.99,26.99,21,INV-2024-006,2024-03-22,UAB Elektros Sistemos,SANDĖLININKAS002,35,10,2024-03-22,SUP006,ADMIN,2024-01-01,SALES001,2024-03-22,Active
14,0050001,Judesio jutiklis IP44,4755678901234,QR-4755678901234,"IR judesio jutiklis, IP44, 180°, baltas",Elektros Instaliacijos,Jutikliai,8.99,14.99,21,INV-2024-007,2024-03-25,UAB Smart Controls,SANDĖLININKAS003,120,30,2024-03-25,SUP007,ADMIN,2024-01-01,ADMIN,2024-03-25,Active
15,0050002,Judesio jutiklis IP65,4755678901235,QR-4755678901235,"IR judesio jutiklis, IP65, 180°, juodas",Elektros Instaliacijos,Jutikliai,12.99,19.99,21,INV-2024-007,2024-03-25,UAB Smart Controls,SANDĖLININKAS003,85,25,2024-03-25,SUP007,ADMIN,2024-01-01,ADMIN,2024-03-25,Active
